Brand,Model,Year,OS,CPU,RAM,Storage,Battery,Resolution,Refresh_Rate,Price
LG,V300SW V30S+ ThinQ TD-LTE,2018-03-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",256.0,,3300.0,1440x2880,,
Alcatel,One Touch Pixi 4 4.0 Dual SIM LATAM 4034E,2016-06-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,1500.0,480x800,,
Alcatel,One Touch Pixi Unite A466BG,2016-01-08, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,1500.0,480x800,,
Sony,Xperia XA2 Dual SIM TD-LTE EMEA H4113,2018-02-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3300.0,1080x1920,,
LG,M250AR K Series K10 2017 LTE,2017-04-01, Android," MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",16.0,,2800.0,720x1280,,
LG,H320AR Leon 3G,2015-06-01, Android," MediaTek MT6582, 2013, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-400 GPU",8.0,,1900.0,480x854,,
LG,K350AR K Series K8 4G LTE,2016-06-01, Android," MediaTek MT6735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,2125.0,720x1280,,
LG,K430AR K Series K10 4G LTE,2016-06-01, Android," MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",16.0,,2300.0,720x1280,,
Samsung,SM-J701M Galaxy J7 Neo 2017 LTE-A LATAM,2017-09-01, Android," Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",16.0,,3000.0,1080x1920,,
Samsung,SM-J701MT Galaxy J7 Neo 2017 HD TV Duos LTE-A LATAM,2017-11-01, Android," Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",16.0,,3000.0,1080x1920,,
Samsung,SM-G960F Galaxy S9 TD-LTE,2018-03-16, Android," Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",64.0,,3000.0,1440x2960,,
Nokia,1 Dual SIM TD-LTE EMEA,2018-04-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,2150.0,480x854,,
Samsung,SM-G965F Galaxy S9+ TD-LTE / Galaxy S9 Plus,2018-03-16, Android," Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",64.0,,3500.0,1440x2960,,
Samsung,SM-G960U Galaxy S9 TD-LTE US,2018-03-16, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3000.0,1440x2960,,719.0
Alcatel,3 Dual SIM LTE EMEA 5052D,2018-03-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,3000.0,720x1440,,
Alcatel,3 LTE EMEA 5052Y,2018-03-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,3000.0,720x1440,,
Alcatel,3x Dual SIM TD-LTE EMEA 5058Y / 5058I,2018-03-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",32.0,,3000.0,720x1440,,
LG,V300L V30S ThinQ TD-LTE,2018-03-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",128.0,,3300.0,1440x2880,,
Nokia,8 Sirocco Global TD-LTE,2018-04-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",128.0,,3260.0,1440x2560,,
Alcatel,One Touch Pixi 4 5.0 3G EMEA 5010X ,2016-06-08, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2000.0,480x854,,
Alcatel,3V Dual SIM TD-LTE EMEA 5099D / 5099U,2018-03-01, Android," MediaTek MT6735A, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,3000.0,1080x2160,,
LG,V300LW V30S+ ThinQ TD-LTE,2018-03-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",256.0,,3300.0,1440x2880,,
Samsung,SM-G965F/DS Galaxy S9+ Duos TD-LTE 64GB,2018-03-16, Android," Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",64.0,,3500.0,1440x2960,,
Samsung,SM-G960W Galaxy S9 TD-LTE,2018-03-16, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3000.0,1440x2960,,
Sony,Xperia XZ2 TD-LTE H8216 / PF22,2018-04-06, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3180.0,1080x2160,,
Alcatel,1X Dual SIM LTE EMEA 5059D,2018-04-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,2460.0,480x960,,
Alcatel,5 Dual SIM LTE EMEA 5086D,2018-03-01, Android," MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",32.0,,3000.0,720x1440,,
Sony,Xperia XZ2 Compact Global TD-LTE H8314 / PF32,2018-04-06, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,2870.0,1080x2160,,
Alcatel,One Touch Pixi 4 5.0 3G Dual SIM EMEA 5010D ,2016-06-08, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2000.0,480x854,,
Sony,Xperia XZ2 Dual SIM TD-LTE H8296,2018-03-21, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3180.0,1080x2160,,
Sony,Xperia XZ2 Compact Global Dual SIM TD-LTE H8324,2018-04-01, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,2870.0,1080x2160,,
Samsung,SM-G965W Galaxy S9+ TD-LTE,2018-03-16, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3500.0,1440x2960,,
Nokia,6 2018 Global Dual SIM TD-LTE 32GB / 6.1,2018-03-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3000.0,1080x1920,,
LG,V300L V30+ TD-LTE,2017-09-21, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",128.0,,3300.0,1440x2880,,
LG,V300K V30+ TD-LTE,2017-09-21, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",128.0,,3300.0,1440x2880,,
LG,V300KW V30S+ ThinQ TD-LTE,2018-03-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",256.0,,3300.0,1440x2880,,
LG,V300K V30 Signature Edition TD-LTE 256GB,2017-12-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",256.0,,3300.0,1440x2880,,
LG,V300S V30 Signature Edition TD-LTE 256GB,2017-12-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",256.0,,3300.0,1440x2880,,
LG,V300KR V30S ThinQ TD-LTE,2018-03-01, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",128.0,,3300.0,1440x2880,,
Alcatel,One Touch Shine Lite LTE LATAM 5080A,2016-10-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,2460.0,720x1280,,
Alcatel,One Touch Shine Lite Dual SIM TD-LTE APAC 5080D,2016-09-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,2460.0,720x1280,,
HTC,Desire 12 LTE AM 16GB,2018-04-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,2730.0,720x1440,,
Tecno Mobile,Pouvoir L9 Dual SIM ,2017-03-11, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,4000.0,720x1280,,
Tecno Mobile,Pouvoir L9 Plus Dual SIM,2017-03-11, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,5000.0,720x1280,,
ZTE,Blade V9 Dual SIM LTE-A AM Version 2 32GB,2018-03-01, Android," Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",32.0,,3200.0,1080x2160,,
Alcatel,One Touch Pixi 4 5.0 3G LATAM 5010G  ,2016-06-08, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2000.0,480x854,,
Nokia,6 2018 Dual SIM TD-LTE AM 32GB / 6.1,2018-04-24, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3000.0,1080x1920,,
Asus,ZenFone 5Z 2018 Global Dual SIM TD-LTE Version A ZS620KL 256GB,2018-08-02, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",256.0,,3300.0,1080x2246,,
Tecno Mobile,S1 Dual SIM ,2017-09-29, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,1500.0,480x800,,
Tecno Mobile,S6 Dual SIM ,2017-11-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2300.0,480x854,,
Noa,Element N10 Dual SIM LTE-A,2018-03-01, Android," MediaTek Helio P23 MT6763, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",64.0,,3600.0,1080x2160,,
Lava,Z50 Dual SIM LTE,2018-03-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,2500.0,480x854,,
Alcatel,One Touch Pixi 3 3.5 LATAM OT-4009F,2015-03-01, Android," MediaTek MT6572M, 2013, 32 bit, dual-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 256 Kbyte L2, 28 nm, ARM Mali-400 GPU",4.0,,1300.0,320x480,,
Samsung,SM-G965D Galaxy S9+ TD-LTE JP SC-03K / SGH-N943,2018-05-18, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",,,3500.0,1440x2960,,
Samsung,SM-G960D Galaxy S9 TD-LTE JP SC-02K / SGH-N327,2018-05-01, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3000.0,1440x2960,,
Asus,ZenFone 5 2018 Global Dual SIM TD-LTE Version A ZE620KL,2018-04-18, Android," Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",64.0,,3300.0,1080x2246,,
Asus,ZenFone 5 Lite 2018 Global Dual SIM TD-LTE Version B 64GB ZC600KL,2018-03-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",64.0,,3300.0,1080x2160,,
Tecno Mobile,W1 Dual SIM,, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,1800.0,480x800,,
Tecno Mobile,W3 Pro Dual SIM,2018-01-01, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2500.0,480x854,,
Samsung,SM-G960N Galaxy S9 TD-LTE,2018-03-16, Android," Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",64.0,,3000.0,1440x2960,,
Alcatel,One Touch Pixi 4 5.0 LITE 3G Dual SIM LATAM 5010E ,2016-06-08, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",8.0,,2000.0,480x854,,
Samsung,SM-G965N Galaxy S9+ TD-LTE 256GB,2018-03-16, Android," Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",256.0,,3500.0,1440x2960,,
Samsung,SM-G9600/DS Galaxy S9 Duos TD-LTE CN,2018-03-16, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3000.0,1440x2960,,
Samsung,SM-G9650/DS Galaxy S9+ Duos TD-LTE CN,2018-03-16, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3500.0,1440x2960,,
Asus,ZenFone 5 Lite 2018 Dual SIM TD-LTE Version E 32GB ZC600KL,2018-03-01, Android," Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 505 GPU",32.0,,3300.0,1080x2160,,
Tecno Mobile,W4 Dual SIM,2016-04-18, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,2500.0,720x1280,,
Tecno Mobile,WX4 Dual SIM,2017-08-03, Android," MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",16.0,,2800.0,720x1280,,
Tecno Mobile,WX4 Pro Dual SIM LTE,2017-08-09, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,2800.0,720x1280,,
Tecno Mobile,W5 Dual SIM LTE,2016-10-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,3000.0,720x1280,,
Tecno Mobile,I3 Dual SIM LTE,2017-04-18, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,3050.0,720x1280,,
Tecno Mobile,I7 Dual SIM LTE,2017-04-18, Android," MediaTek MT6750T, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",32.0,,4000.0,1080x1920,,
Hisense,Infinity H11 Pro Dual SIM TD-LTE,2018-03-03, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",64.0,,3400.0,1080x2160,,
Samsung,SM-G965F/DS Galaxy S9+ Duos TD-LTE 128GB,2018-03-16, Android," Samsung Exynos 9 Octa 9810, 2018, 64 bit, octa-core, 2560 Kbyte L2, 4096 Kbyte L3, 10 nm, ARM Mali-G72 GPU",128.0,,3500.0,1440x2960,,
Meizu,M6S Premium Edition Dual SIM TD-LTE CN 64GB M712Q-B,2018-03-01, Android," Samsung Exynos 5 Hexa 7872, 2018, 64 bit, hexa-core, 14 nm, ARM Mali-G71 GPU",64.0,,3000.0,720x1440,,
Oppo,F5 Dual SIM TD-LTE IN TH Version 1 32GB CPH1727,2017-11-08, Android," MediaTek Helio P23 MT6763T, 2017, 64 bit, octa-core, 16 nm, ARM Mali-G71 GPU",32.0,,3200.0,1080x2160,,
Sony,Xperia XA2 TD-LTE H3133,2018-03-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3300.0,1080x1920,,
Sony,Xperia XA2 LTE-A NA H3123,2018-02-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",32.0,,3300.0,1080x1920,,
ZTE,Blade V9 Dual SIM TD-LTE Version 3 16GB,2018-03-01, Android," Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",16.0,,3200.0,1080x2160,,
LG,X410L X Series X4 LTE,2018-03-01, Android," Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 512 Kbyte L2, 28 nm, Qualcomm Adreno 308 GPU",16.0,,3000.0,720x1280,,
HTC,U12+ Dual SIM TD-LTE 128GB,2018-06-21, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",128.0,,3500.0,1440x2880,,
Doro,8035 LTE,2018-03-01, Android," Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",16.0,,2500.0,720x1280,,
Caterpillar,CAT S61 Global Dual SIM TD-LTE,2018-05-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",64.0,,4500.0,1080x1920,,
Caterpillar,CAT S61 Dual SIM LTE US,2018-04-01, Android," Qualcomm Snapdragon 630 SDM630, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 508 GPU",64.0,,4500.0,1080x1920,,
Pixelphone,M1 TD-LTE Dual SIM,, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,2500.0,640x1280,,
Pixelphone,S1 TD-LTE Dual SIM,2018-02-01, Android," MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,2000.0,720x1280,,
Blu,Vivo X Dual SIM LTE-A V0230WW,2018-04-01, Android," MediaTek Helio P25 MT6757T, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T880 GPU",64.0,,4010.0,720x1440,,
Nokia,7 Plus Android One Global Dual SIM LTE-A,2018-04-01, Android," Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",64.0,,3800.0,1080x2160,,
Nokia,7 Plus Premium Edition Dual SIM TD-LTE APAC,2018-03-07, Android," Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",64.0,,3800.0,1080x2160,,
ZTE,Tempo Go TD-LTE N9137GO,2018-03-01, Android," Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",8.0,,2200.0,480x854,,
Wiko,View 2 Dual SIM LTE-A M2124,2018-03-01, Android," Qualcomm Snapdragon 435 MSM8940, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",32.0,,3000.0,720x1528,,
Wiko,View 2 Pro Dual SIM LTE-A M2123,2018-03-01, Android," Qualcomm Snapdragon 450 SDM450, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",64.0,,3000.0,720x1528,,
Wiko,View Lite Dual SIM LTE M1946,2018-03-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,3000.0,720x1440,,
Wiko,Tommy 3 Dual SIM LTE EMEA M2087,2018-03-01, Android," MediaTek MT6739, 2017, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 28 nm, IMG PowerVR GE8100 GPU",16.0,,2500.0,720x960,,
Alcatel,One Touch Pixi 4 5.0 LTE EMEA 5045X,2016-06-08, Android," MediaTek MT6735M, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",8.0,,2000.0,480x854,,
HTC,U11 TD-LTE 64GB U-3u,2017-05-26, Android," Qualcomm Snapdragon 835 MSM8998, 2017, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 10 nm, Qualcomm Adreno 540 GPU",64.0,,3000.0,1440x2560,,
Samsung,SM-G960U1 Galaxy S9 TD-LTE US,2018-03-07, Android," Qualcomm Snapdragon 845 SDM845 (Napali), 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",64.0,,3000.0,1440x2960,,719.0
ZTE,Blade A612 Global Dual SIM TD-LTE,2017-06-01, Android," MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",16.0,,4000.0,720x1280,,
